Naslov,Mesto,Doplacilo,Posta,Cena,Ime_lokala
Koštialova 1,NOVO MESTO,"3,31",2432,"6,00",OKREPČEVALNICA NOVAK
Kotnikova 5,LJUBLJANA,"1,34",2729,"4,03",OKREPČEVALNICA PEKARNA DOBROT
Koroška cesta 5,MARIBOR,"2,74",1237,"5,43",OKREPČEVALNICA PIVNICA ALF
Koroška cesta 5,MARIBOR,"3,24",1238,"5,93",OKREPČEVALNICA PIVNICA ALF - DOSTAVA
Adamič Lundrovo nabrežje 1,LJUBLJANA,"3,31",2311,"6,00",OKREPČEVALNICA RIBCA
Gosposvetska cesta 43c,MARIBOR,"3,11",2049,"5,80",OKREPČEVALNICA SARAJEVO
Glavni trg 5,MARIBOR,"2,74",2569,"5,43",OKREPČEVALNICA STARI GRIL
Usnjarska ulica 5,MARIBOR,"3,23",2776,"5,92",OKREPČEVALNICA ŠIŠ
Kardeljeva ploščad 5,LJUBLJANA,"0,00",2302,"2,69",OKREPČEVALNICA ŠUMI
Trg OF 10,LJUBLJANA,"1,14",2757,"3,83",OKREPČEVALNICA TIMEOUT
Partizanska cesta 50,MARIBOR,"0,94",1925,"3,63",OKREPČEVALNICA TIP TOP
Spuhlja 32,PTUJ,"2,61",2334,"5,30",OKREPČEVALNICA VILLA MONDE
Ulica Eve Lovše 1,MARIBOR,"3,11",2480,"5,80",OŠTARIJA PIZZERIA DA NOI
Ulica Eve Lovše 1,MARIBOR,"4,31",2705,"7,00",OŠTARIJA PIZZERIA DA NOI - DOSTAVA
Šmartinska cesta 152,LJUBLJANA,"3,31",2271,"6,00",OŠTARIJA PRI OLJKI
Kandijska cesta 35,NOVO MESTO,"2,31",1471,"5,00",OŠTARIJA RUDOLFSWERTH
Gosposka ulica 6,MARIBOR,"2,94",2863,"5,63",PAPAGAYO
Ljubljanska cesta 21,CELJE,"2,48",2623,"5,17",PE DIJAŠKI DOM CELJE
Tobačna ulica 5,LJUBLJANA,"2,21",1424,"4,90",PE MARJETICA
Glavni trg 25,SLOVENJ GRADEC,"0,00",1983,"2,69",PEK MATJAŽ GLAVNI TRG
Tomšičeva cesta 15,VELENJE,"0,00",1984,"2,69",PEK MATJAŽ TOMŠIČEVA
Jurčkova cesta 223,LJUBLJANA,"3,51",1366,"6,20",PIAZZA DEL PAPA
Cesta v Mestni log 55,LJUBLJANA,"3,64",2248,"6,33",PICERIJA BARJAN
Celjska cesta 7,ŽALEC,"3,21",2507,"5,90",PICERIJA BONITAS 
Pod Trško goro 83,NOVO MESTO,"3,11",2551,"5,80",PICERIJA ERA
Otoška cesta 5,NOVO MESTO,"3,11",2927,"5,80",PICERIJA LAVANDA
Meljska cesta 39,MARIBOR,"2,81",2970,"5,50",PICERIJA RESTAVRACIJA MORICCU
UlicaIvana Roba 56,NOVO MESTO,"3,44",2754,"6,13",PICERIJA ŠTANGELJ
Opekarniška cesta 9,CELJE,"2,94",2504,"5,63",PICERIJA VERONA 
Opekarniška cesta 9,CELJE,"3,94",2505,"6,63",PICERIJA VERONA - DOSTAVA
Celovška cesta 249,LJUBLJANA,"4,31",1794,"7,00",PICESTAVRACIJA BOCCACCIO
Perkova 17,DOMŽALE,"3,71",1798,"6,40",PIVNICA ADAM RAVBAR
Kolodvorska ulica 14,LJUBLJANA,"3,94",2185,"6,63",PIVOVARNA IN PIVNICA KRATOCHWILL
Ljubljanska cesta 5,BLED,"4,31",2308,"7,00",PIZZERIA BRIKSEN
Rozmanova ulica 25,NOVO MESTO,"3,31",2736,"6,00",PIZZERIA CHIANTI
Ulica Eve Lovše 1,MARIBOR,"0,54",2479,"3,23",PIZZERIA DA NOI FAST FOOD
Gregorčičeva ulica 3,LJUBLJANA,"4,24",1441,"6,93",PIZZERIA FOCULUS
Dalmatinova ulica 2,KRŠKO,"4,31",2284,"7,00",PIZZERIA FONTANA 
Vojkova 34,LJUBLJANA,"3,94",1402,"6,63",PIZZERIA GREGORINO
Pobreška cesta 18,MARIBOR,"3,24",1103,"5,93",PIZZERIA IN ŠPAGETERIA AL CAPONE
Šmartinska cesta 152,LJUBLJANA,"3,21",2270,"5,90",PIZZERIA IN ŠPAGETERIJA AL CAPONE
Podbevškova ulica 11,NOVO MESTO,"2,84",1305,"5,53",PIZZERIA IN ŠPAGETTERIA CUBUS
Tržaška 79a,LJUBLJANA,"3,60",1423,"6,29",PIZZERIA LATERNA
Dečkova cesta 41,CELJE,"2,94",2661,"5,63",PIZZERIA OLIVA
Dečkova cesta 41,CELJE,"3,94",2660,"6,63",PIZZERIA OLIVA - DOSTAVA
Nazorjeva ulica 8,LJUBLJANA,"3,34",2165,"6,03",PIZZERIA OSMICA
Trg republike 2,LJUBLJANA,"3,74",2375,"6,43",PIZZERIA PARMA
Koroška cesta 60,MARIBOR,"2,14",1266,"4,83",PIZZERIA PRONTO
Miklošičeva cesta 22,LJUBLJANA,"0,00",1335,"2,69",PIZZERIA ŠESTINKA
Kandijska cesta 60,NOVO MESTO,"3,34",1334,"6,03",PIZZERIA TOTALKA
Karlovška cesta 5,LJUBLJANA,"3,84",1336,"6,53",PIZZERIA TUNNEL
Tomažičeva ulica 10,IZOLA/ISOLA,"3,21",1011,"5,90",PIZZERIA VILA RAINERI
Pečarjeva 1,ZAGORJE OB SAVI,"3,44",1861,"6,13",PIZZERIJA AŠIČ
Pečarjeva ulica 1,ZAGORJE OB SAVI,"3,94",2011,"6,63",PIZZERIJA AŠIČ - DOSTAVA
Čevljarska 8,KOPER/CAPODISTRIA,"3,24",1031,"5,93",PIZZERIJA ATRIJ
Obrtniška cesta 1,TRBOVLJE,"3,31",1716,"6,00",PIZZERIJA DIMNIK
Obrtniška cesta 1,TRBOVLJE,"3,81",1717,"6,50",PIZZERIJA DIMNIK - DOSTAVA
Ulica Marije Hvaličeve 6,LJUBLJANA,"4,31",1711,"7,00",PIZZERIJA ETNA - ITALIJANSKA KUHINJA
Koroška cesta 59,KRANJ,"2,71",1994,"5,40",PIZZERIJA GORENC
Cesta v Mestni log 55,LJUBLJANA,"3,44",1413,"6,13",PIZZERIJA IN OKREPČEVALNICA KONDOR
Stara cesta 25b,KRANJ,"3,44",2784,"6,13",PIZZERIJA IN ŠPAGETERIJA BUF KRANJ
Vojkova 71,LJUBLJANA,"3,94",1466,"6,63",PIZZERIJA PIRAMIDA
Šalek 24 a,VELENJE,"3,84",1176,"6,53",PIZZERIJA VELUN
Dravska ulica 8,MARIBOR,"2,51",2636,"5,20",PIZZERIJA VERDI
Kardeljeva ploščad 17,LJUBLJANA,"3,44",2565,"6,13",PODMORNICA
Poljanski nasip 2,LJUBLJANA,"2,91",1474,"5,60",PRAVNA FAKULTETA
Vodovodna cesta 90,LJUBLJANA,"3,44",2983,"6,13",PREHRANA BAR VO-KA
Dunajska 160,LJUBLJANA,"3,44",2753,"6,13",PREHRANA PALAČA SMELT
Prešernova cesta 55,IZOLA/ISOLA,"4,31",2204,"7,00",PRIMAVERA IZOLA
Prešernova cesta 55 ,IZOLA/ISOLA,"4,31",2205,"7,00",PRIMAVERA IZOLA-DOSTAVA
Preradovičeva ulica 33,MARIBOR,"2,44",1265,"5,13",PROMETNA ŠOLA MARIBOR
Slovenska 9,MARIBOR,"4,21",2325,"6,90",Q SLOVENSKA
Gorkega ulica 45,MARIBOR,"4,21",2651,"6,90",Q TABOR
Cankarjeva cesta 6,LJUBLJANA,"3,51",2992,"6,20",RESDOBR
Osojnikova 12,PTUJ,"3,59",2955,"6,28",RESTAVRACIAJ AMFORA - DOSTAVA
Poštna ulica 8,MARIBOR,"3,11",1564,"5,80",RESTAVRACIJA  &quot;BAŠČARŠIJA&quot;
Osojnikova 12,PTUJ,"2,64",2869,"5,33",RESTAVRACIJA  AMFORA
Dunajska 5,LJUBLJANA,"3,00",1530,"5,69",RESTAVRACIJA 123 DELO
Litostrojska 54,LJUBLJANA,"3,00",2187,"5,69",RESTAVRACIJA 123 DSU
Večna pot 113,LJUBLJANA,"2,20",2529,"4,89",RESTAVRACIJA 123 FRI IN FKKT
Cesta Ljubljanske brigade 33,LJUBLJANA,"3,00",2367,"5,69",RESTAVRACIJA 123 MC LJUBJANA
Industrijska cesta 6,NOVA GORICA,"3,00",2366,"5,69",RESTAVRACIJA 123 MC NOVA GORICA
Verovškova ulica 55a,LJUBLJANA,"3,00",2528,"5,69",RESTAVRACIJA 123 MEGA CENTER 2
Dunajska cesta 107,LJUBLJANA,"3,00",2531,"5,69",RESTAVRACIJA 123 MERCATOR DUNAJSKA
Kardeljeva ploščad 16,LJUBLJANA,"2,36",1532,"5,05",RESTAVRACIJA 123 PEDAGOŠKA
Vojkovo nabrežje 32,KOPER/CAPODISTRIA,"3,00",1583,"5,69",RESTAVRACIJA 123 PRISTAN
Nazorjeva ulica 8,LJUBLJANA,"4,31",2164,"7,00",RESTAVRACIJA ALLEGRIA
Jurčičeva ulica 7,MARIBOR,"3,64",2501,"6,33",RESTAVRACIJA ANCORA
Dunajska cesta 22,LJUBLJANA,"3,84",2527,"6,53",RESTAVRACIJA BREJK
Šmartinska cesta 152g,LJUBLJANA,"1,31",1823,"4,00",RESTAVRACIJA BURGER KING
Trg Matije Gubca 3,KRŠKO,"3,71",2405,"6,40",RESTAVRACIJA CITY
Titov trg 3,VELENJE,"2,41",1626,"5,10",RESTAVRACIJA DK
Petkovškovo nabrežje 19,LJUBLJANA,"4,31",1827,"7,00",RESTAVRACIJA FANY &amp; MARY
Slovenska cesta 51,LJUBLJANA,"3,94",2097,"6,63",RESTAVRACIJA FRESCO
Mala ulica 5,LJUBLJANA,"4,31",2843,"7,00",RESTAVRACIJA GIG
Trg zmage 8,MURSKA SOBOTA,"2,61",2343,"5,30",RESTAVRACIJA IN PIVNICA ZVEZDA
Mariborska 100,CELJE,"2,93",1195,"5,62",RESTAVRACIJA INTERSPAR CELJE
Šmartinska 152g,LJUBLJANA,"2,93",1369,"5,62",RESTAVRACIJA INTERSPAR CITYPARK
Ankaranska cesta 3A,KOPER/CAPODISTRIA,"2,93",1023,"5,62",RESTAVRACIJA INTERSPAR KOPER
Cesta 1.maja 77,KRANJ,"2,93",1198,"5,62",RESTAVRACIJA INTERSPAR KRANJ
Pobreška 18,MARIBOR,"2,93",1194,"5,62",RESTAVRACIJA INTERSPAR MARIBOR EUROPARK
Cesta Proletarskih brigad 100,MARIBOR,"2,93",1197,"5,62",RESTAVRACIJA INTERSPAR MARIBOR QLANDIA
Nemčavci 1d,MURSKA SOBOTA,"2,93",1199,"5,62",RESTAVRACIJA INTERSPAR MURSKA SOBOTA
Cesta 25. junija 1a,NOVA GORICA,"2,93",1025,"5,62",RESTAVRACIJA INTERSPAR NOVA GORICA
Jamova 105,LJUBLJANA,"2,93",1370,"5,62",RESTAVRACIJA INTERSPAR VIČ
Gerbičeva ulica 61,LJUBLJANA,"3,84",1403,"6,53",RESTAVRACIJA KAVARNA PIZZERIA HOMBRE
Focheva ulica 41,MARIBOR,"2,64",2040,"5,33",RESTAVRACIJA KITAJSKA PALAČA
Dravska cesta 7 ,PTUJ,"2,94",1130,"5,63",RESTAVRACIJA KITAJSKI VRT
Prešernova cesta 10,LJUBLJANA,"3,91",1768,"6,60",RESTAVRACIJA KLUB CANKARJEVEGA DOMA
Cesta talcev 37a,VELENJE,"3,31",2475,"6,00",RESTAVRACIJA KOLODVORSKA 
Kidričeva cesta 75,ŠKOFJA LOKA,"2,94",2278,"5,63",RESTAVRACIJA KOMPLIMENT
Kotnikova 28,LJUBLJANA,"2,84",2833,"5,53",RESTAVRACIJA KOTNIKOVA
Turnerjeva ulica 17,MARIBOR,"3,60",2085,"6,29",RESTAVRACIJA MANGO
Mariborska cesta 100,CELJE,"2,01",2649,"4,70",RESTAVRACIJA MCDONALDS - CITYCENTER
Ormoška cesta 3,PTUJ,"2,01",2759,"4,70",RESTAVRACIJA MCDONALDS - PTUJ
Čopova 14,LJUBLJANA,"2,01",1377,"4,70",RESTAVRACIJA MCDONALD&#39;S ČOPOVA
Šmartinska 152,LJUBLJANA,"2,01",1380,"4,70",RESTAVRACIJA MCDONALD&#39;S KOLOSEJ
Ljubljanska 24,NOVO MESTO,"2,01",1381,"4,70",RESTAVRACIJA MCDONALD&#39;S NOVO MESTO
Premrlova ulica 12,LJUBLJANA,"2,01",1536,"4,70",RESTAVRACIJA MCDONALD&#39;S RUDNIK
Trg osvobodilne fronte 6,LJUBLJANA,"2,01",1379,"4,70",RESTAVRACIJA MCDONALD&#39;S -ŽELEZNIŠKA
Šmartinska 154,LJUBLJANA,"2,01",1378,"4,70",RESTAVRACIJA MCDONALD&#39;S ŽITO
Davčna ulica 1,LJUBLJANA,"3,31",2721,"6,00",RESTAVRACIJA MODRI KVADRAT
Stegne 7,LJUBLJANA,"3,31",1382,"6,00",RESTAVRACIJA MOZART
Gosposka ulica 30,MARIBOR,"3,44",2768,"6,13",RESTAVRACIJA MR. FALAFEL
Taborska ulica 12,MARIBOR,"3,04",2619,"5,73",RESTAVRACIJA ORIENT
Gregorčičeva ulica 19,MARIBOR,"2,00",2953,"4,69",RESTAVRACIJA PEKING
Koroška cesta 160,MARIBOR,"3,20",2229,"5,89",RESTAVRACIJA PIANO
Trg francoske revolucije 2,LJUBLJANA,"3,54",1360,"6,23",RESTAVRACIJA PLEČNIKOV HRAM
Dimičeva ulica 13,LJUBLJANA,"3,11",2180,"5,80","RESTAVRACIJA PRESTIGE CATERING, GZS"
Tržaška 116,LJUBLJANA,"3,24",1321,"5,93",RESTAVRACIJA RDEČE JABOLKO
Tržaška cesta 67,MARIBOR,"3,44",2959,"6,13",RESTAVRACIJA RUTAR MARIBOR
Kidričeva cesta 8c,ŠKOFJA LOKA,"2,24",2252,"4,93",RESTAVRACIJA SARAJEVSKIH JEDI VALTER - ŠKOFJA LOKA
Cesta Maršala Tita 106,JESENICE,"2,24",2884,"4,93",RESTAVRACIJA SARAJEVSKIH JEDI VALTER JESENICE
Cesta 1.maja 1a,KRANJ,"2,24",2326,"4,93",RESTAVRACIJA SARAJEVSKIH JEDI VALTER KRANJ
Šmartinska cesta 3,LJUBLJANA,"2,24",2131,"4,93",RESTAVRACIJA SARAJEVSKIH JEDI VALTER LJUBLJANA
Cankarjeva 66,RADOVLJICA,"2,24",2887,"4,93",RESTAVRACIJA SARAJEVSKIJ JEDI VALTER RADOVLJICA
Ajdovščina 4,LJUBLJANA,"3,84",1367,"6,53",RESTAVRACIJA SKRITI KOT
Vičava 1,PTUJ,"1,86",2870,"4,55",RESTAVRACIJA SLOREST VIČAVA
Šmartinska cesta 132,LJUBLJANA,"3,81",2918,"6,50",RESTAVRACIJA SNEŽINKA
Šmihelska cesta 1,NOVO MESTO,"1,81",1298,"4,50",RESTAVRACIJA SPLOŠNE BOLNIŠNICE NOVO MESTO
Aškerčeva 1,LJUBLJANA,"1,81",2596,"4,50",RESTAVRACIJA ŠOLSKI CENTER AŠKERČEVA
Mali trg 3a,LJUBLJANA,"3,64",2854,"6,33",RESTAVRACIJA TARTUF &quot;CENTER&quot;
Trg repubilke 3,LJUBLJANA,"3,81",2915,"6,50",RESTAVRACIJA TR3
Mariborska cesta 128,CELJE,"2,93",1100,"5,62",RESTAVRACIJA TUŠ CELJE (PLANET TUŠ)
Cesta Jake Platiše 18,KRANJ,"2,93",1102,"5,62",RESTAVRACIJA TUŠ KRANJ
Metelkova ulica 29,MARIBOR,"2,44",2698,"5,13",RESTAVRACIJA ZLATA SREČA
Pesje 30,KRŠKO,"3,64",2286,"6,33","RESTAVRACIJA,PICERIJA, ŠPAGETERIJA ADRENALINA"
Trg OF 14,LJUBLJANA,"2,84",2739,"5,53",ROZA SLON
Dunajska 115,LJUBLJANA,"2,84",2859,"5,53",ROZA SLON BEŽIGRAD
Jurčkova cesta 223,LJUBLJANA,"3,81",1597,"6,50",RUNNING SUSHI &amp; WOK
Dolenjska cesta 103,LJUBLJANA,"4,11",2595,"6,80",SALAMON - DOSTAVA
Stegne 11a,LJUBLJANA,"4,31",2552,"7,00",SAMOPOSTREŽNA RESTAVRACIJA DOBRA HIŠA
Mariborska cesta 7,CELJE,"2,81",2781,"5,50",SAMOPOSTREŽNA RESTAVRACIJA STOLPIČ
Trubarjeva 56,LJUBLJANA,"3,44",2921,"6,13",SKUHNA
Trg mladinskih delovnih brigad 12,LJUBLJANA,"0,00",2145,"2,69",SLAŠČIČARNA IN KAVARNA LEONARD
Goriška cesta 11,AJDOVŠČINA,"3,31",2633,"6,00",SLAŠČIČARNA IN PICERIJA AJDOVŠČINA
Goriška cesta 11,AJDOVŠČINA,"3,31",2254,"6,00",SLAŠČIČARNA IN PICERIJA AJDOVŠČINA - HALO ERIK-DOSTAVA
Tomšičeva 2,LJUBLJANA,"2,31",2919,"5,00",SPAR PARTNER NAMA
Polje 40,IZOLA/ISOLA,"2,31",2641,"5,00",SPLOŠNA BOLNIŠNICA IZOLA
Prekomorskih brigad 7,IZOLA/ISOLA,"1,94",2263,"4,63",SREDNJA ŠOLA IZOLA - SCUOLA MEDIA ISOLA
Cesta krških žrtev 59,KRŠKO,"3,31",2115,"6,00",STARA KRŠKA PIZZERIJA
Cesta krških žrtev 59,KRŠKO,"3,51",2116,"6,20",STARA KRŠKA PIZZERIJA - DOSTAVA
Dunajska cesta 115a,LJUBLJANA,"1,44",2389,"4,13",SUBWAY
Slovenska cesta 1,LJUBLJANA,"1,44",2714,"4,13",SUBWAY
Šmartinska cesta 152,LJUBLJANA,"1,44",2988,"4,13",SUBWAY BTC
Trubarjeva cesta 31,LJUBLJANA,"1,31",2092,"4,00",ŠEHEREZADA
Svetčeva ulica 9,LJUBLJANA,"3,00",2213,"5,69",ŠTUDENTSKI DOM LJUBLJANA - RESTAVRACIJA
Mesarski prehod 3,MARIBOR,"3,51",2337,"6,20",TAKOS 
Pobreška cesta 18,MARIBOR,"4,31",2336,"7,00",TAKOS DOS
Cafova ulica 4,MARIBOR,"0,00",2998,"2,69",TASTY SNACKS
Ulica Heroja Nandeta 31,MARIBOR,"3,51",2960,"6,20",TAVERNA SICILIA
Ulica Heroja Nandeta 31,MARIBOR,"3,51",2961,"6,20",TAVERNA SICILIA - DOSTAVA
Kersnikova 6,LJUBLJANA,"3,52",2880,"6,21",TO JE TO BALKAN ŽAR
Žitna ulica 12,MARIBOR,"3,44",2498,"6,13",TRATTORIA PADRINO
Tržaška cesta 65,MARIBOR,"2,94",2786,"5,63",TRATTORIA PORTOFINO
Na Poljanah 18,MARIBOR,"2,93",1101,"5,62",TUŠ RESTAVRACIJA MARIBOR STUDENCI (PLANET TUŠ)
Svetčeva ulica 14,LJUBLJANA,"2,92",1262,"5,61",UFO
Pobreška cesta 18,MARIBOR,"0,74",2662,"3,43",UN MOMENTO-PIZZA TIME
Šmartinska cesta 3,LJUBLJANA,"4,31",2882,"7,00","UTRIP - BAR, BISTRO IN KAVARNA"
Rimska cesta 13,LJUBLJANA,"0,00",2664,"2,69",V PARKU
Igriška 5,LJUBLJANA,"0,00",1477,"2,69",VEGETARIJANSKA OKREPČEVALNICA HOLYFOOD
Žibretova 23,LJUBLJANA,"3,44",1339,"6,13",VEGETARIJANSKA RESTAVRACIJA RADHA GOVINDA
Turnerjeva ulica 17,MARIBOR,"0,44",3002,"3,13",VILLAGE SNACKS
Tržaška cesta 18,LJUBLJANA,"2,94",2599,"5,63",VOLTA
Cesta Ljubljanske brigade 33,LJUBLJANA,"4,31",1576,"7,00",VOZI MIŠKO (MC ŠIŠKA)
Vetrinjska ulica 15,MARIBOR,"2,64",2327,"5,33",WOK MIX OKREPČEVALNICA
Bazoviška ulica 6,NOVA GORICA,"3,24",2933,"5,93",XIAO FENG
Rimska cesta 13,LJUBLJANA,"4,31",2952,"7,00",ZBORNICA BAR IN ŽAR
Ljubljanska cesta 89,DOMŽALE,"3,44",2275,"6,13",ZLATI KROŽNIK
Jadranska ulica 21,LJUBLJANA,"0,00",2993,"2,69",ZNANSTVENA KAVARNA MAFIJA
Trg Leona Štuklja 1,MARIBOR,"0,00",2956,"2,69",ŽITO LEON ŠTUKELJ MARIBOR
Trg OF 7,LJUBLJANA,"0,00",2535,"2,69",ŽITO LJUBLANA ŽELEZNIŠKA (KOLODVOR)
Slovenska cesta 58,LJUBLJANA,"0,00",2771,"2,69",ŽITO LJUBLJANA BAVARSKI DVOR
Vodnikov trg 5,LJUBLJANA,"0,00",1791,"2,69",ŽITO LJUBLJANA VODNIK
